priority,market,cluster,product_fit,landing,status,recommended_match,seed_keywords,volume_signal,cpc_signal_usd,intent_signal,risk,negative_guardrails,test_budget_cop_day,pause_gate,scale_gate
P1,Mexico,Multidestino todo incluido,ready_ads,/agencia-de-viajes-a-colombia-para-mexicanos,expand_exact_phrase,Exact+Phrase,"paquete de viaje a colombia; viaje organizado a colombia; viajes a colombia desde mexico; viaje a colombia todo incluido",High: viajes a colombia 9900; viaje desde mexico 1300; todo incluido 1300,0.54-1.32,Commercial/mixed,"Generic queries, price shoppers, flight-only intent","vuelos; aerolineas; barato; 2x1; hotel; empleo; visa",85000,"COP 120k spend with no qualified CRM lead or gclid trace","3 CRM-qualified leads in 72h and CPL CRM <= COP 60k"
P1,Spain,Multidestino premium,ready_ads,/agencia-de-viajes-a-colombia-para-espanoles,expand_exact_phrase,Exact+Phrase,"viajes organizados a colombia; viaje a colombia desde españa; circuito colombia 15 dias; agencia viajes colombia",Medium: viajes 3600; desde españa 720; organizados 260,0.51-2.18,Commercial/mixed,"Broad informational traffic and high CPC for agency terms","vuelos; barato; visa; trabajo; agencia local colombia; opiniones competidor",50000,"COP 120k spend with no WhatsApp/waflow_submit or CRM opportunity","2 CRM-qualified leads in 72h and seller quality accepted"
P1,Spain,Eje Cafetero curated,ready_but_watch,/eje-cafetero,continue_small_test,Exact+Phrase,"tour eje cafetero; tour eje cafetero colombia",Low-medium: 50 Spain but live Ads has conversions on small spend,0.89,Commercial/informational,"Can become local/info query if landing not package-led","parque del cafe; mapa; como llegar; clima; ruta del cafe info",30000,"COP 80k spend with no CRM opportunity","Any CRM quote with reference/gclid and acceptable lead quality"
P2,Chile,Colombia desde Chile,ready_ads,/viajes-a-colombia-desde-chile,controlled_test,Exact+Phrase,"paquetes a colombia desde chile; viaje a colombia desde chile; paquetes a colombia",Medium-low: viajes 1600; paquetes 1000; desde chile 480; paquetes desde chile 210,0.52-0.69,Commercial/mixed,"Low volume; all-inclusive discount seekers","2x1; vuelos; vuelo hotel; barato; despegar; visa; requisitos",30000,"COP 120k or 7 days with no qualified WhatsApp/CRM lead","1-2 qualified leads in 7 days without search-term pollution"
P2,Chile,San Andres desde Chile,ready_ads,/san-andres-4-dias,controlled_test,Exact+Phrase,"paquetes a san andres colombia; san andres todo incluido",Medium: paquetes san andres 720; todo incluido 140,0.70-0.97,Commercial,"Strong 2x1/promo risk and flight+hotel intent","2x1; vuelo; hotel; barato; ofertas; all inclusive resort",30000,"COP 90k with no WhatsApp lead or >30% bad terms","1 qualified San Andres conversation and clean search terms"
P2,United States,Colombia packages EN,ready_ads,/en/colombia-travel-packages,reopen_small_test,Exact only first,"colombia travel packages; colombia vacation packages; colombia tour packages",Medium: 720 each,3.60,Commercial,"Expensive clicks; prior traffic included local day tours and misspellings","day trip; guatape day; jardin day; cheap; flights; hotels; columbia",80000,"COP 120k with no waflow_submit/WhatsApp or bad search terms","1 premium-quality inquiry with UTM/gclid and WAFlow submit"
P2,United States,Private/luxury Colombia,ready_ads_needs_copy,/en/colombia-travel-packages,exact_micro_test,Exact,"colombia luxury travel; colombia luxury tours; private colombia travel packages; custom colombia tours",Low but premium: luxury 40-50; family 70,6.21-13.27,Commercial,"Very low volume; high CPC; needs premium proof in copy","cheap; backpacking; group tour budget; hostels",50000,"5 clicks with no engaged session or CTA interaction","Any qualified high-ticket inquiry"
P3,Canada,Colombia packages EN,ready_ads_future,/en/colombia-travel-packages,defer_until_us_signal,Exact,"colombia travel packages; colombia vacation packages; colombia tour packages",Medium-low: 260 each,1.77,Commercial,"Lower volume; should not split budget before USA signal","flights; cheap; hotels; backpacking; columbia",40000,"No activation until USA has clean lead signal","Open after USA gets first qualified lead or cheaper CPC advantage appears"
P3,Argentina,Colombia packages ES,needs_market_landing,/agencia-de-viajes-a-colombia-para-mexicanos,prepare_not_activate,Exact+Phrase,"paquetes a colombia; viaje a colombia desde argentina; san andres colombia paquetes",Medium: paquetes 1300; desde argentina 480; san andres 170,0.31-0.39,Commercial/mixed,"Currency/budget quality risk; no Argentina-specific landing","barato; 2x1; vuelos; hotel; cuotas; promociones",40000,"Do not activate before Argentina-specific copy and budget filter","Activate only after landing speaks to flights/direct routes and budget floor"
P3,Peru,Colombia packages ES,needs_market_landing,/agencia-de-viajes-a-colombia-para-mexicanos,defer,Exact+Phrase,"paquetes a colombia; viaje a colombia desde peru",Medium-low: viajes 1000; paquetes 260; desde peru 320,0.39-0.54,Commercial/mixed,"Lower volume and likely lower ticket; landing mismatch","vuelos; barato; visa; trabajo; hotel",30000,"Do not activate before Mexico/Spain/Chile evidence is stable","Use only if CPL tests in Chile/Argentina outperform"
P3,Mexico,Santander San Gil Barichara gap,needs_landing,none,build_landing_first,SEO+Exact after landing,"san gil colombia; barichara colombia; paquetes santander colombia; tour san gil colombia",High discovery: san gil 9900; barichara 1000,0.17-1.11,Mostly informational,"Huge volume but not package intent; no landing; local/info searches","mapa; clima; como llegar; hoteles; restaurantes; bus; local",0,"No Ads until package landing exists and keyword modifiers are commercial","Launch only with '/santander-san-gil-barichara' and package-led copy"
P3,United States,Niche nature tours,needs_landing,none,seo_first_then_ads,Exact after landing,"colombia birding tours; colombia coffee tour; colombia amazon tours",Low-medium: birding 210; coffee 320; amazon 30,1.60-2.86,Commercial/mixed,"Specialist product requirements; current package coverage partial","free; map; DIY; day tour; hostel",0,"No Ads until product/landing and provider ops are confirmed","Open micro-test if landing exists and planner can qualify niche lead"
