Campaign,Ad Group,Link Text,Description Line 1,Description Line 2,Final URL,Final Mobile URL,Platform Targeting,Device Preference,Start Date,End Date,Ad Schedule,Status
MX_Multidestino_y_Caribe_2026_05,,Cartagena 4 Días,Mar Caribe Colombia,Vuelo + Hotel + Tours,https://colombiatours.travel/cartagena-4-dias,,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,San Andrés Todo Incluido,Mar de los 7 Colores,4 Días 3 Noches,https://colombiatours.travel/san-andres-4-dias,,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Tour Colombia 10 Días,Cartagena Eje Medellín,Vuelo + Hotel + Guía,https://colombiatours.travel/tour-colombia-10-dias,,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Mejores Paquetes 2026,Catálogo Completo,Todos los Destinos,https://colombiatours.travel/los-mejores-paquetes-de-viajes-a-colombia,,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Medellín y Guatapé,5 Días Eterna Primavera,Comuna 13 + Peñol,https://colombiatours.travel/paquetes/medellin-y-guatape-5-dias-ciudad-de-la-eterna-primavera,,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Cotiza por WhatsApp,Asesoría Inmediata,Soporte 24/7,https://colombiatours.travel/contacto,,All,Mobile,,,,Paused
ES_Cartagena_Medellin_2026_05,,Cartagena Premium 5D,Hoteles 4* y 5*,Excursiones Privadas,https://colombiatours.travel/paquetes/cartagena-premium-ciudad-amurallada-y-caribe-5-dias,,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Gran Tour Colombia 15D,Cartagena Eje Medellín,Hoteles Boutique,https://colombiatours.travel/paquetes/gran-tour-colombia-15-dias-bogota-eje-cafetero-medellin-y-santa-marta,,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Medellín y Guatapé 5D,Eterna Primavera,Cultura + Paisajes,https://colombiatours.travel/paquetes/medellin-y-guatape-5-dias-ciudad-de-la-eterna-primavera,,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Tour Colombia 15 Días,Itinerario Premium,Vuelos + Hoteles 4-5*,https://colombiatours.travel/tour-colombia-15-dias,,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Sobre Nosotros,Agencia Colombiana,+10 Años Experiencia,https://colombiatours.travel/nosotros,,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Cotiza por WhatsApp,Asesoría Inmediata,Soporte 24/7,https://colombiatours.travel/contacto,,All,Mobile,,,,Paused
