Campaign,Ad Group,Callout Text,Platform Targeting,Device Preference,Start Date,End Date,Ad Schedule,Status
MX_Multidestino_y_Caribe_2026_05,,Asesoría 24/7 en español,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,+10 años de experiencia,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Reserva con $1 USD,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Mejor precio garantizado,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Pago en cuotas disponible,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Soporte completo en México,All,All,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Cotiza por WhatsApp,All,Mobile,,,,Paused
MX_Multidestino_y_Caribe_2026_05,,Sin comisiones ocultas,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Asesoría 24/7 en español,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,+10 años operando en España,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Reserva con €1 de depósito,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Hoteles boutique 4* y 5*,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Excursiones privadas,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Itinerario a medida,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Tarifa premium garantizada,All,All,,,,Paused
ES_Cartagena_Medellin_2026_05,,Cotiza por WhatsApp,All,Mobile,,,,Paused
